tool
LXC
Docker
rkt
ZooKeeper
Eureka
etcd
Synapse
Consul
Graphite
InfluxDB
Sensu
cAdvisor
Prometheus
Mesos
Kubernetes
Nomad
Finagle
Hystrix
Proxygen
Resilience4j
Ansible
Drone
Spinnaker
Otter
Pumba
SmartStack
Prana
Envoy
OpenWhisk
Linkerd
Istio
Conduit
