tool
LXC
Docker
rkt
ZooKeeper
Eureka
etcd
Synapse
Consul
Graphite
InfluxDB
Sensu
cAdvisor
Prometheus
Mesos
Kubernetes
Nomad
Finagle
Hystrix
Proxygen
Resilience4j
Ansible
Drone
Spinnaker
Otter
Pumba
SmartStack
Prana
Envoy
OpenWhisk
Linkerd
Istio
Conduit
RabbitMQ
Zuul
SQS
SNS
Pact
Seneca
Kong
JHipster
Falcon
Lagom
Fabric8
OKD
OpenShift
microprofile
MSF4J
Crossbar.io
Eventuate
falcor
lumen
studio
AxonFramework
go-kit
fleet
EC2
ECS
ECS2
ServiceFabric
