Id,ParentId,OwnerUserId
27123564,27116051,107397.0
27140353,26491425,1224443.0
26992479,25600580,43681.0
27071793,26616962,4280473.0
27127631,26866479,766328.0
51941940,51921033,53444.0
51942238,51942114,2692083.0
51942469,51942114,2880657.0
51944204,40737349,985395.0
51944527,51923607,70386.0
51948080,51946603,8513835.0
51948150,51944296,2575224.0
51953088,51950785,6164419.0
51953177,51953109,3933365.0
51962668,50927770,4088857.0
51964114,39967784,1546137.0
51976361,51974383,832671.0
51980792,51980596,5224652.0
51984557,51980596,4615649.0
51986363,51986244,4939853.0
51997342,51993175,4469944.0
51997398,51988439,2692083.0
52001247,51999232,6236211.0
52003473,51980596,6236211.0
52011410,52011129,62985.0
52013836,51976057,1766831.0
52014488,51953129,6236211.0
52023864,52023726,4554863.0
52024043,52023726,2692083.0
52027825,52001694,9231401.0
52036584,51996128,4987371.0
52037386,51976057,6444628.0
52044016,30496218,2556407.0
52048025,52008034,3069919.0
52050305,52041354,2575224.0
52057460,52057408,3500196.0
52058449,52057828,3561275.0
52059171,52057828,654031.0
52062758,52062284,88122.0
52065586,52058409,218441.0
52066874,52057408,1008568.0
52070307,52070247,2788.0
52070862,52070247,2575224.0
52077110,51962515,1387612.0
52077871,46092604,657026.0
52082037,51982133,6899919.0
52083082,52081388,2692083.0
52083290,52081388,4469944.0
52091387,52090842,2575224.0
52099869,52099128,4469944.0
52101885,52098392,3871750.0
52105672,52104915,299462.0
52105751,52105225,10169530.0
52108560,52104915,400262.0
52111846,52105225,5336549.0
52112877,52105225,329660.0
52113938,52098061,421602.0
52119556,52097737,6566294.0
52126206,52126065,2692083.0
51980796,51980596,2932953.0
52001670,51993175,6236211.0
52013227,52011686,2575224.0
52058042,52057828,266143.0
52076758,52076009,6541574.0
52082557,52051459,1923715.0
52098305,52093232,10169530.0
52125266,52125150,5255935.0
52125468,52125150,2692083.0
51958800,51953129,10257368.0
51996502,51996128,54734.0
52031373,52031350,5483526.0
51943094,51939287,1659476.0
51953179,51953109,6121503.0
51999321,51999232,2692083.0
51951483,51950785,4175568.0
51966211,51965342,2519577.0
52092732,52092546,485732.0
51992929,51991404,7147006.0
52063793,51821786,1672486.0
50510943,48824086,9841311.0
50528478,50527363,9774735.0
50538436,50430808,0.0
50545511,45655728,9851969.0
50554275,40669943,962650.0
50563211,50562495,7756558.0
50565607,50563413,6896299.0
50567138,50563413,7773582.0
50567285,50566406,2164883.0
50574522,50552293,784594.0
50586868,50583823,441902.0
50591790,46131196,6931836.0
50592776,50506101,7193761.0
50613186,48873507,185907.0
50613356,48370641,185907.0
50627628,50627087,180368.0
50628698,50627087,626692.0
50631003,50629814,962746.0
50634463,50584687,832671.0
50636472,50635469,7756558.0
50651810,50651256,9274514.0
50654613,46453981,7298086.0
50654940,50653819,93960.0
50655492,50651256,1479976.0
50655948,50645878,1479976.0
50656544,50651256,419863.0
50663173,50663047,1947216.0
50663225,50663047,6521058.0
50663842,50571546,3620633.0
50678348,50677506,5564578.0
50679141,50647694,620288.0
50680903,50647694,1638590.0
50697733,50688223,2966556.0
50698178,50697247,5564578.0
50709096,50651256,3664876.0
50709255,50707566,54929.0
50522942,50430808,3226981.0
50526957,50506101,5790498.0
50572185,50562495,4085968.0
50586573,45047011,263296.0
50558583,50555353,131930.0
50663140,50663047,9769061.0
50675410,50672490,105929.0
50677219,50673143,5790498.0
50692275,50678338,5790498.0
50698665,50697247,8236858.0
50659095,50628676,9274514.0
50599096,50598938,5108806.0
50641534,50634072,1479976.0
50675120,50672490,2575224.0
50694195,50686734,2575224.0
50629902,50629814,7185049.0
50629965,50629814,1129436.0
49677947,46236744,36498.0
49698420,46236744,2387977.0
49706030,45655728,4845615.0
49709097,49708997,6237026.0
49709318,49548508,4812900.0
49725949,46236744,1908967.0
49725988,45830528,421642.0
49771498,49771449,5413146.0
49777511,47178056,2829212.0
49779320,49777963,6226790.0
49806459,49709956,3975309.0
49810397,32529742,2959707.0
49821284,49817769,9599341.0
49823487,49823345,1957567.0
49827447,49708997,8301447.0
49839429,29591967,1697099.0
49851267,49849813,8726716.0
49853646,49848942,1645712.0
