tool
Docker Swarm
Amazon Elastic Container Service
Amazon Web Services CodePipeLine
Chaos Monkey
Simian Army
Chaos Tollkit
Amazon Web Services Lambda
Azure Functions
Google Cloud Functions
Spring Cloud Function
Amazon Simple Queue Service
Amazon Simple Notification Service
Service Fabric
Azure Service Bus
Azure Storage Queues
go kit
fleet microservice cluster
netflix conductor
Axon Framework
OpenShift Container Platform
OpenShift Origin
Rabbit MQ
